procedure 分程序
alphabet 字母
ident_sign_table 标识符表 
var_desc_part 变量说明部分
content_part 语句部分
ar_desc 变量说明
ident_sign 标识符
assign_content 赋值语句
condition_content 条件语句
loop_content 循环语句
complex_content 复合语句
condition 条件
expression 表达式
relation_cal_sign 关系运算符
add_cal_sign 加法运算符
item 项
mult_cal_sign 乘法运算符
const 常量
factor 因子
unsign_num 无符号整数
数字序列 num_array
